"swede1"|"swede2"|"abba"|"deathmetal"
"556"|37|536|1|0
"557"|37|648|1|1
"558"|37|75|1|0
"559"|37|365|1|0
"560"|37|36|1|0
"561"|37|241|1|0
"562"|37|183|1|1
"563"|37|2|1|0
"564"|37|290|1|1
"565"|37|239|1|0
"566"|37|619|1|0
"567"|37|641|1|0
"568"|37|322|1|1
"569"|37|124|1|0
"570"|37|132|1|0
"571"|37|1|1|0
"572"|37|250|1|1
"573"|37|309|1|0
"574"|37|785|1|0
"575"|37|351|1|0
"576"|37|201|1|0
"577"|37|742|1|0
"578"|37|744|1|1
"579"|37|473|1|0
"580"|37|607|1|0
"581"|37|680|1|1
"582"|37|362|1|1
"583"|37|640|1|0
"584"|37|197|1|0
"585"|37|234|1|0
"586"|37|238|1|0
"587"|37|51|1|1
"588"|37|751|1|1
"589"|37|667|1|0
"590"|37|232|1|0
"591"|37|55|1|1
"592"|37|712|1|0
"593"|37|119|1|0
"594"|37|431|1|0
"595"|37|39|1|0
"596"|37|660|1|0
"597"|37|644|1|1
"598"|37|626|1|0
"599"|37|659|1|0
"600"|37|110|1|0
"601"|37|337|1|0
"602"|37|33|1|0
"603"|37|122|1|0
"604"|37|155|1|1
"605"|37|700|1|0
"606"|37|333|1|0
"607"|38|798|1|1
"608"|38|159|1|1
"609"|38|818|1|1
"610"|38|449|1|0
"611"|38|794|1|0
"612"|38|521|1|1
"613"|38|123|1|0
"614"|38|473|1|0
"615"|38|121|1|0
"616"|38|632|1|0
"617"|38|660|1|0
"618"|38|201|1|0
"619"|38|299|1|0
"620"|38|278|1|0
"621"|38|705|1|0
"622"|38|231|1|1
"623"|38|225|1|0
"624"|38|337|1|0
"625"|38|36|1|0
"626"|38|641|1|0
"627"|38|55|1|1
"628"|38|431|1|0
"629"|38|309|1|0
"630"|38|687|1|0
"631"|38|545|1|0
"632"|38|287|1|0
"633"|38|648|1|1
"634"|38|265|1|0
"635"|38|290|1|1
"636"|38|71|1|0
"637"|38|102|1|0
"638"|38|197|1|0
"639"|38|248|1|0
"640"|38|365|1|0
"641"|38|780|1|0
"642"|38|792|1|0
"643"|38|272|1|0
"644"|38|61|1|0
"645"|38|649|1|0
"646"|38|706|1|1
"647"|38|833|1|0
"648"|38|316|1|0
"649"|38|825|1|0
"650"|38|344|1|1
"651"|38|163|1|0
"652"|38|716|1|1
"653"|38|122|1|0
"654"|38|227|1|0
"655"|38|719|1|1
"656"|38|75|1|0
"657"|38|362|1|1
"658"|38|164|1|1
"659"|38|110|1|0
"660"|38|56|1|1
"661"|38|549|1|1
"662"|38|376|1|0
"663"|38|711|1|0
"664"|38|322|1|1
"665"|38|790|1|0
"666"|38|590|1|0
"667"|38|119|1|0
"668"|38|273|1|0
"669"|38|712|1|0
"670"|38|282|1|0
"671"|38|816|1|0
"672"|38|827|1|0
"673"|38|325|1|1
"674"|38|796|1|0
"675"|38|52|1|0
"676"|38|672|1|0
"677"|38|680|1|1
"678"|38|104|1|0
"679"|38|633|1|0
"680"|38|787|1|0
"681"|38|276|1|1
"682"|38|135|1|0
"683"|38|33|1|0
"684"|38|647|1|1
"685"|38|331|1|0
"686"|38|533|1|0
"687"|38|742|1|0
"688"|38|561|1|0
"689"|38|81|1|0
"690"|38|619|1|0
"691"|38|181|1|0
"692"|38|330|1|0
"693"|38|351|1|0
"694"|38|536|1|0
"695"|38|607|1|0
"696"|38|735|1|0
"697"|38|39|1|0
"698"|38|188|1|1
"699"|38|318|1|0
"700"|38|757|1|1
"701"|38|297|1|0
"702"|38|592|1|1
"703"|38|667|1|0
"704"|38|744|1|1
"705"|38|154|1|1
"706"|38|704|1|0
"707"|38|644|1|1
"708"|38|167|1|0
"709"|38|659|1|0
"710"|38|213|1|1
"711"|38|710|1|0
"712"|38|696|1|0
"713"|38|806|1|0
"714"|38|321|1|0
"715"|38|216|1|0
"716"|39|1|1|0
"717"|39|351|1|0
"718"|39|279|1|0
"719"|39|696|1|0
"720"|39|297|1|0
"721"|39|362|1|1
"722"|39|507|1|0
"723"|39|36|1|0
"724"|39|204|1|0
"725"|39|239|1|0
"726"|39|533|1|0
"727"|39|234|1|0
"728"|39|38|1|0
"729"|39|155|1|1
"730"|39|757|1|1
"731"|39|250|1|1
"732"|39|124|1|0
"733"|39|216|1|0
"734"|39|333|1|0
"735"|39|273|1|0
"736"|39|127|1|0
"737"|39|61|1|0
"738"|39|232|1|0
"739"|39|238|1|0
"740"|39|272|1|0
"741"|39|644|1|1
"742"|39|744|1|1
"743"|39|607|1|0
"744"|39|545|1|0
"745"|39|181|1|0
"746"|39|648|1|1
"747"|39|37|1|0
"748"|39|473|1|0
"749"|39|183|1|1
"750"|39|331|1|0
"751"|39|322|1|1
"752"|39|145|1|0
"753"|39|154|1|1
"754"|39|56|1|1
"755"|39|337|1|0
"756"|39|330|1|0
"757"|39|324|1|0
"758"|39|290|1|1
"759"|39|122|1|0
"760"|39|201|1|0
"761"|39|449|1|0
"762"|39|197|1|0
"763"|39|196|1|0
"764"|39|119|1|0
"765"|39|211|1|1
"766"|39|647|1|1
"767"|39|52|1|0
"768"|39|792|1|0
"769"|39|33|1|0
"770"|39|188|1|1
"771"|39|309|1|0
"772"|39|365|1|0
"773"|39|650|1|0
"774"|39|178|1|0
"775"|39|323|1|0
"776"|39|626|1|0
"777"|39|282|1|0
"778"|39|71|1|0
"779"|39|312|1|0
"780"|39|641|1|0
"781"|39|358|1|1
"782"|39|592|1|1
"783"|39|118|1|1
"784"|39|241|1|0
"785"|39|712|1|0
"786"|39|561|1|0
"787"|39|619|1|0
"788"|39|235|1|0
"789"|39|700|1|0
"790"|39|816|1|0
"791"|39|785|1|0
"792"|39|431|1|0
"793"|40|759|0|0
"794"|40|457|0|1
"795"|40|498|0|0
"796"|41|58|0|0
"797"|41|567|0|0
"798"|41|55|0|1
"799"|41|144|0|1
"800"|41|156|0|1
"801"|41|48|0|0
"802"|41|738|0|1
"803"|41|83|0|1
"804"|41|109|0|1
"805"|41|165|0|0
"806"|41|751|0|1
"807"|41|44|0|1
"808"|41|725|0|1
"809"|41|92|0|1
"810"|41|568|0|1
"811"|42|720|1|1
"812"|42|528|1|0
"813"|42|336|1|0
"814"|42|208|1|1
"815"|42|126|1|1
"816"|42|695|1|1
"817"|42|621|1|1
"818"|42|372|1|1
"819"|42|143|1|0
"820"|42|630|1|1
"821"|42|361|1|0
"822"|42|541|1|1
"823"|42|707|1|1
"824"|42|547|1|1
"825"|42|623|1|0
"826"|42|684|1|0
"827"|43|287|0|0
"828"|43|274|0|1
"829"|43|755|0|0
"830"|43|248|0|0
"831"|43|678|0|0
"832"|43|2|0|0
"833"|43|626|0|0
"834"|43|540|0|0
"835"|43|770|0|0
"836"|43|322|0|1
"837"|43|303|0|0
"838"|43|122|0|0
"839"|44|41|0|1
"840"|44|36|0|0
"841"|44|92|0|1
"842"|44|700|0|0
"843"|44|751|0|1
"844"|44|48|0|0
"845"|44|431|0|0
"846"|44|144|0|1
"847"|44|507|0|0
"848"|44|55|0|1
"849"|45|77|0|1
"850"|45|79|0|1
"851"|46|243|1|0
"852"|46|761|1|0
"853"|46|251|1|1
"854"|46|180|1|0
"855"|46|248|1|0
"856"|46|27|1|1
"857"|46|540|1|0
"858"|46|90|1|1
"859"|46|294|1|1
"860"|46|626|1|0
"861"|46|7|1|0
"862"|46|67|1|1
"863"|46|236|1|0
"864"|47|759|1|0
"865"|47|696|1|0
"866"|47|676|1|0
"867"|47|80|1|0
"868"|47|761|1|0
"869"|47|783|1|0
"870"|47|505|1|0
"871"|47|564|1|0
"872"|47|357|1|0
"873"|47|700|1|0
"874"|47|202|1|0
"875"|47|29|1|0
"876"|47|94|1|0
"877"|47|687|1|0
"878"|47|232|1|0
"879"|47|626|1|0
"880"|47|533|1|0
"881"|47|669|1|0
"882"|47|254|1|0
"883"|47|105|1|0
"884"|47|472|1|0
"885"|47|306|1|1
"886"|47|7|1|0
"887"|47|767|1|1
"888"|47|763|1|1
"889"|47|274|1|1
"890"|47|180|1|0
"891"|47|263|1|0
"892"|47|221|1|0
"893"|47|701|1|0
"894"|47|230|1|0
"895"|47|67|1|1
"896"|47|375|1|0
"897"|47|811|1|0
"898"|47|239|1|0
"899"|47|212|1|0
"900"|47|243|1|0
"901"|47|310|1|0
"902"|47|294|1|1
"903"|47|732|1|0
"904"|47|214|1|0
"905"|47|632|1|0
"906"|47|303|1|0
"907"|47|69|1|0
"908"|47|205|1|1
"909"|47|27|1|1
"910"|47|366|1|1
"911"|47|287|1|0
"912"|47|258|1|0
"913"|47|590|1|0
"914"|47|162|1|0
"915"|47|53|1|0
"916"|47|556|1|0
"917"|47|337|1|0
"918"|47|774|1|0
"919"|47|770|1|0
"920"|47|464|1|1
"921"|47|807|1|0
"922"|47|383|1|1
"923"|47|734|1|1
"924"|47|332|1|1
"925"|47|130|1|0
"926"|47|507|1|0
"927"|47|438|1|0
"928"|47|66|1|0
"929"|47|187|1|0
"930"|47|719|1|1
"931"|47|536|1|0
"932"|47|473|1|0
"933"|47|803|1|0
"934"|47|787|1|0
"935"|47|685|1|1
"936"|47|678|1|0
"937"|47|199|1|1
"938"|47|573|1|1
"939"|47|315|1|0
"940"|47|694|1|0
"941"|47|728|1|1
"942"|47|266|1|0
"943"|47|312|1|0
"944"|47|514|1|1
"945"|47|810|1|0
"946"|47|827|1|0
"947"|47|2|1|0
"948"|48|55|1|1
"949"|48|253|1|0
"950"|48|144|1|1
"951"|48|165|1|0
"952"|48|184|1|1
"953"|48|834|1|1
"954"|48|751|1|1
"955"|48|44|1|1
"956"|48|57|1|1
"957"|48|567|1|0
"958"|48|507|1|0
"959"|48|41|1|1
"960"|48|568|1|1
"961"|48|725|1|1
"962"|48|700|1|0
"963"|48|203|1|0
"964"|48|738|1|1
"965"|49|782|0|1
"966"|49|315|0|0
"967"|49|130|0|0
"968"|49|694|0|0
"969"|50|749|1|1
"970"|50|83|1|1
"971"|50|745|1|1
"972"|50|736|1|1
"973"|50|739|1|1
"974"|50|762|1|0
"975"|50|724|1|0
"976"|50|737|1|1
"977"|50|748|1|1
"978"|50|750|1|1
"979"|50|747|1|1
"980"|50|740|1|1
"981"|50|738|1|1
"982"|50|746|1|1
"983"|50|753|1|0
"984"|51|250|0|1
"985"|51|507|0|0
"986"|51|619|0|0
"987"|51|640|0|0
"988"|51|545|0|0
"989"|51|55|0|1
"990"|51|323|0|0
"991"|51|331|0|0
"992"|51|61|0|0
"993"|51|650|0|0
"994"|51|316|0|0
"995"|51|37|0|0
"996"|51|75|0|0
"997"|51|592|0|1
"998"|51|290|0|1
"999"|51|751|0|1
"1000"|51|337|0|0
"1001"|51|216|0|0
"1002"|52|712|1|0
"1003"|52|38|1|0
"1004"|52|204|1|0
"1005"|52|211|1|1
"1006"|52|119|1|0
"1007"|52|155|1|1
"1008"|52|590|1|0
"1009"|52|321|1|0
"1010"|52|312|1|0
"1011"|52|39|1|0
"1012"|52|188|1|1
"1013"|52|53|1|0
"1014"|52|201|1|0
"1015"|52|239|1|0
"1016"|52|816|1|0
"1017"|52|646|1|0
"1018"|52|376|1|0
"1019"|52|163|1|0
"1020"|52|159|1|1
"1021"|52|757|1|1
"1022"|52|449|1|0
"1023"|52|167|1|0
"1024"|52|273|1|0
"1025"|52|333|1|0
"1026"|52|213|1|1
"1027"|52|61|1|0
"1028"|52|124|1|0
"1029"|52|633|1|0
"1030"|52|650|1|0
"1031"|52|282|1|0
"1032"|52|648|1|1
"1033"|52|592|1|1
"1034"|52|561|1|0
"1035"|52|647|1|1
"1036"|52|337|1|0
"1037"|52|331|1|0
"1038"|52|714|1|1
"1039"|52|785|1|0
"1040"|52|279|1|0
"1041"|52|71|1|0
"1042"|52|280|1|1
"1043"|53|650|1|0
"1044"|53|118|1|1
"1045"|53|540|1|0
"1046"|53|292|1|0
"1047"|53|7|1|0
"1048"|53|119|1|0
"1049"|53|87|1|1
"1050"|53|154|1|1
"1051"|53|271|1|0
"1052"|53|47|1|0
"1053"|53|827|1|0
"1054"|53|186|1|1
"1055"|53|204|1|0
"1056"|53|164|1|1
"1057"|53|258|1|0
"1058"|53|325|1|1
"1059"|53|770|1|0
"1060"|53|332|1|1
"1061"|53|287|1|0
"1062"|53|333|1|0
"1063"|53|153|1|0
"1064"|53|759|1|0
"1065"|53|626|1|0
"1066"|53|167|1|0
"1067"|53|719|1|1
"1068"|53|205|1|1
"1069"|53|29|1|0
"1070"|53|803|1|0
"1071"|53|163|1|0
"1072"|53|121|1|0
"1073"|53|235|1|0
"1074"|53|73|1|0
"1075"|53|227|1|0
"1076"|53|299|1|0
"1077"|53|696|1|0
"1078"|53|166|1|0
"1079"|53|797|1|1
"1080"|53|97|1|0
"1081"|53|183|1|1
"1082"|53|825|1|0
"1083"|53|2|1|0
"1084"|53|310|1|0
"1085"|53|221|1|0
"1086"|53|52|1|0
"1087"|53|376|1|0
"1088"|53|556|1|0
"1089"|53|792|1|0
"1090"|53|59|1|1
"1091"|53|536|1|0
"1092"|53|69|1|0
"1093"|53|351|1|0
"1094"|53|315|1|0
"1095"|53|169|1|0
"1096"|53|331|1|0
"1097"|53|761|1|0
"1098"|53|212|1|0
"1099"|53|728|1|1
"1100"|53|592|1|1
"1101"|53|785|1|0
"1102"|53|648|1|1
"1103"|53|312|1|0
"1104"|53|590|1|0
"1105"|53|238|1|0
"1106"|53|794|1|0
"1107"|53|475|1|0
"1108"|53|533|1|0
"1109"|53|564|1|0
"1110"|53|507|1|0
"1111"|53|188|1|1
"1112"|53|322|1|1
"1113"|53|700|1|0
"1114"|53|330|1|0
"1115"|53|278|1|0
"1116"|53|324|1|0
"1117"|53|71|1|0
"1118"|53|687|1|0
"1119"|53|811|1|0
"1120"|53|787|1|0
"1121"|53|469|1|0
"1122"|53|130|1|0
"1123"|53|632|1|0
"1124"|53|36|1|0
"1125"|53|757|1|1
"1126"|53|561|1|0
"1127"|53|358|1|1
"1128"|53|243|1|0
"1129"|53|303|1|0
"1130"|53|309|1|0
"1131"|53|159|1|1
"1132"|53|365|1|0
"1133"|53|234|1|0
"1134"|54|322|0|1
"1135"|54|678|0|0
"1136"|54|255|0|1
"1137"|55|156|0|1
"1138"|55|165|0|0
"1139"|55|144|0|1
"1140"|55|507|0|0
"1141"|55|44|0|1
"1142"|55|149|0|0
"1143"|55|41|0|1
"1144"|55|83|0|1
"1145"|55|290|0|1
"1146"|55|38|0|0
"1147"|55|197|0|0
"1148"|55|700|0|0
"1149"|55|48|0|0
