empl1|empl2|collaborations|engineer1|engineer2|invent1|invent2
5|467|1|0|1|1|1
5|611|1|0|1|1|1
5|362|3|0|0|1|0
5|239|1|0|1|1|1
5|696|1|0|1|1|1
5|471|1|0|0|1|1
6|90|1|0|0|0|0
6|161|1|0|0|0|1
6|95|1|0|0|0|0
7|46|1|0|0|1|1
7|310|5|0|0|1|1
7|663|1|0|0|1|1
7|286|1|0|1|1|1
7|810|1|0|0|1|1
7|774|5|0|0|1|1
7|66|1|0|1|1|1
7|811|1|0|1|1|1
7|73|5|0|1|1|1
7|105|3|0|0|1|1
7|27|1|0|1|1|0
7|186|3|0|0|1|0
7|122|10|0|0|1|1
7|123|12|0|1|1|1
7|36|3|0|0|1|1
7|803|3|0|0|1|1
7|80|1|0|1|1|1
7|827|3|0|0|1|1
7|180|7|0|1|1|1
7|315|1|0|0|1|1
7|783|1|0|0|1|1
7|536|8|0|0|1|1
7|230|1|0|0|1|1
7|212|7|0|0|1|1
7|258|1|0|1|1|1
7|53|5|0|0|1|1
7|761|8|0|1|1|1
7|287|5|0|0|1|1
7|81|5|0|0|1|1
7|556|12|0|1|1|1
7|59|3|0|0|1|0
7|687|1|0|0|1|1
7|406|3|0|1|1|0
7|475|1|0|0|1|1
7|282|1|0|0|1|1
7|239|1|0|1|1|1
7|473|3|0|0|1|1
7|154|5|0|0|1|0
7|332|5|0|0|1|0
7|97|8|0|0|1|1
7|25|1|0|0|1|1
7|161|3|0|0|1|1
7|420|1|0|1|1|1
7|254|1|0|1|1|1
7|462|1|0|0|1|1
7|770|10|0|0|1|1
7|153|3|0|0|1|1
7|368|1|0|0|1|0
7|60|1|0|0|1|0
7|199|3|0|0|1|0
7|312|5|0|0|1|1
7|505|1|0|1|1|1
7|564|5|0|0|1|1
7|158|1|0|0|1|0
7|469|3|0|0|1|1
7|221|3|0|0|1|1
7|700|7|0|0|1|1
7|626|14|0|0|1|1
7|289|5|0|0|1|1
7|121|1|0|1|1|1
7|632|10|0|0|1|1
7|205|5|0|0|1|0
7|248|3|0|0|1|1
7|778|5|0|0|1|1
7|72|7|0|0|1|0
7|187|1|0|1|1|1
7|166|3|0|0|1|1
7|685|5|0|0|1|0
7|130|7|0|0|1|1
7|263|7|0|1|1|1
7|274|1|0|0|1|0
7|47|8|0|0|1|1
7|696|1|0|1|1|1
7|337|3|0|0|1|1
7|2|5|0|1|1|1
7|464|5|0|1|1|0
7|438|1|0|0|1|1
7|767|5|0|0|1|0
7|540|8|0|0|1|1
7|298|3|0|1|1|1
8|197|1|0|0|0|1
9|190|1|0|0|1|1
9|244|3|0|0|1|1
9|362|1|0|0|1|0
9|197|1|0|0|1|1
9|609|1|0|0|1|1
9|132|1|0|1|1|1
10|167|1|0|0|1|1
10|788|1|0|1|1|1
11|288|1|0|1|1|0
11|626|1|0|0|1|1
11|2|3|0|1|1|1
11|137|3|0|1|1|0
11|176|1|0|0|1|1
11|132|3|0|1|1|1
11|507|1|0|0|1|1
11|174|1|0|0|1|0
11|562|3|0|1|1|1
11|578|1|0|0|1|1
11|139|1|0|0|1|0
11|678|1|0|1|1|1
11|122|1|0|0|1|1
11|799|1|0|0|1|1
12|13|1|0|0|0|0
12|207|1|0|0|0|1
12|103|1|0|0|0|1
12|194|3|0|1|0|1
12|220|1|0|0|0|0
12|20|1|0|0|0|0
12|16|1|0|0|0|1
13|15|1|0|0|0|1
13|12|1|0|0|0|0
13|21|1|0|0|0|0
13|194|1|0|1|0|1
13|207|1|0|0|0|1
13|120|1|0|0|0|1
13|291|1|0|0|0|0
13|19|3|0|1|0|1
13|14|1|0|0|0|1
14|21|1|0|0|1|0
14|15|1|0|0|1|1
14|120|3|0|0|1|1
14|13|1|0|0|1|0
14|207|1|0|0|1|1
14|291|1|0|0|1|0
14|17|1|0|0|1|1
14|194|1|0|1|1|1
14|277|1|0|0|1|0
15|17|3|0|0|1|1
15|76|1|0|0|1|1
15|194|1|0|1|1|1
15|13|1|0|0|1|0
15|21|1|0|0|1|0
15|19|1|0|1|1|1
15|120|3|0|0|1|1
15|14|1|0|0|1|1
16|12|1|0|0|1|0
16|194|1|0|1|1|1
16|220|1|0|0|1|0
17|15|3|0|0|1|1
17|14|1|0|0|1|1
17|21|1|0|0|1|0
17|120|1|0|0|1|1
18|82|1|0|1|0|1
18|372|1|0|0|0|0
18|120|1|0|0|0|1
18|197|1|0|0|0|1
18|23|1|0|0|0|0
18|76|1|0|0|0|1
19|21|3|1|0|1|0
19|103|1|1|0|1|1
19|194|3|1|1|1|1
19|24|1|1|0|1|0
19|15|1|1|0|1|1
19|13|3|1|0|1|0
19|207|1|1|0|1|1
19|20|1|1|0|1|0
20|19|1|0|1|0|1
20|12|1|0|0|0|0
20|220|1|0|0|0|0
21|15|1|0|0|0|1
21|120|1|0|0|0|1
21|220|1|0|0|0|0
21|207|3|0|0|0|1
21|17|1|0|0|0|1
21|277|1|0|0|0|0
21|194|1|0|1|0|1
21|13|1|0|0|0|0
21|14|1|0|0|0|1
21|19|3|0|1|0|1
22|194|1|0|1|1|1
23|76|1|0|0|0|1
23|336|1|0|0|0|1
23|82|1|0|1|0|1
23|372|1|0|0|0|0
23|149|1|0|0|0|1
23|609|1|0|0|0|1
23|678|1|0|1|0|1
23|18|1|0|0|0|0
23|120|1|0|0|0|1
24|19|1|0|1|0|1
24|194|1|0|1|0|1
25|66|1|0|1|1|1
25|271|1|0|0|1|1
25|564|1|0|0|1|1
25|338|1|0|1|1|1
25|759|1|0|1|1|1
25|26|1|0|0|1|0
25|7|1|0|0|1|1
26|25|1|0|0|0|1
26|187|1|0|1|0|1
26|564|1|0|0|0|1
27|306|3|1|1|0|0
27|338|1|1|1|0|1
27|122|5|1|0|0|1
27|734|1|1|0|0|0
27|199|1|1|0|0|0
27|540|5|1|0|0|1
27|811|1|1|1|0|1
27|160|1|1|0|0|0
27|542|1|1|0|0|1
27|162|3|1|0|0|1
27|46|1|1|0|0|1
27|47|3|1|0|0|1
27|97|3|1|0|0|1
27|7|1|1|0|0|1
27|248|1|1|0|0|1
27|72|3|1|0|0|0
27|130|1|1|0|0|1
27|564|1|1|0|0|1
27|803|1|1|0|0|1
27|69|1|1|0|0|1
27|221|3|1|0|0|1
27|332|5|1|0|0|0
27|626|3|1|0|0|1
27|180|3|1|1|0|1
27|759|1|1|1|0|1
28|142|1|0|0|0|1
28|244|1|0|0|0|1
28|560|1|0|0|0|1
28|270|1|0|1|0|1
28|283|3|0|1|0|1
28|346|1|0|0|0|1
28|341|1|0|1|0|0
28|296|1|0|1|0|0
28|252|1|0|1|0|1
28|245|1|0|1|0|1
28|285|1|0|1|0|1
29|2|3|0|1|1|1
29|545|5|0|0|1|1
29|110|1|0|1|1|1
29|712|5|0|1|1|1
29|312|1|0|0|1|1
29|449|1|0|1|1|1
29|121|1|0|1|1|1
29|232|5|0|0|1|1
29|155|1|0|0|1|0
29|294|5|0|0|1|0
29|330|3|0|0|1|1
29|536|1|0|0|1|1
29|97|1|0|0|1|1
29|344|1|0|0|1|0
29|274|5|0|0|1|0
29|147|1|0|1|1|0
29|314|1|0|0|1|1
29|811|5|0|1|1|1
29|287|1|0|0|1|1
29|204|5|0|0|1|1
29|590|5|0|0|1|1
29|53|3|0|0|1|1
29|243|5|0|0|1|1
29|363|1|0|1|1|1
29|196|1|0|0|1|1
29|231|3|0|0|1|0
29|744|1|0|0|1|0
29|376|1|0|1|1|1
29|507|1|0|0|1|1
29|186|1|0|0|1|0
29|315|1|0|0|1|1
29|719|3|0|0|1|0
29|626|7|0|0|1|1
29|469|3|0|0|1|1
29|420|7|0|1|1|1
29|521|5|0|1|1|0
29|333|3|0|0|1|1
29|728|1|0|0|1|0
29|669|1|0|0|1|1
29|162|1|0|0|1|1
29|122|3|0|0|1|1
29|271|8|0|0|1|1
29|365|1|0|1|1|1
29|119|5|0|0|1|1
29|533|10|0|0|1|1
29|248|8|0|0|1|1
29|69|1|0|0|1|1
29|167|5|0|0|1|1
29|124|3|0|0|1|1
29|549|3|0|0|1|0
29|221|5|0|0|1|1
29|632|8|0|0|1|1
29|607|1|0|0|1|1
29|310|10|0|0|1|1
29|123|1|0|1|1|1
29|818|1|0|1|1|0
29|169|1|0|1|1|1
29|32|1|0|0|1|0
29|732|5|0|0|1|1
29|754|1|0|0|1|1
29|47|5|0|0|1|1
29|180|5|0|1|1|1
29|700|5|0|0|1|1
29|540|8|0|0|1|1
29|678|3|0|1|1|1
29|332|5|0|0|1|0
29|827|7|0|0|1|1
29|481|1|0|0|1|1
29|104|1|0|1|1|1
29|322|3|0|0|1|0
29|67|1|0|1|1|0
30|341|1|0|1|1|0
30|679|1|0|1|1|0
31|35|1|1|0|1|0
31|679|1|1|1|1|0
31|252|1|1|1|1|1
31|341|1|1|1|1|0
31|247|1|1|0|1|1
32|332|1|0|0|0|0
32|29|1|0|0|0|1
32|540|3|0|0|0|1
32|247|1|0|0|0|1
32|97|1|0|0|0|1
32|147|1|0|1|0|0
32|35|1|0|0|0|0
32|243|1|0|0|0|1
32|2|3|0|1|0|1
32|626|3|0|0|0|1
32|754|1|0|0|0|1
33|152|1|1|0|1|1
33|633|1|1|0|1|1
33|37|1|1|1|1|1
33|224|3|1|0|1|0
33|300|1|1|0|1|0
33|70|1|1|0|1|0
33|362|1|1|0|1|0
33|132|1|1|1|1|1
33|61|5|1|0|1|1
33|1|3|1|1|1|1
33|39|1|1|1|1|1
33|38|1|1|0|1|1
33|640|1|1|1|1|1
33|659|1|1|0|1|1
33|312|1|1|0|1|1
33|756|1|1|1|1|1
33|239|1|1|1|1|1
33|351|3|1|0|1|1
33|721|1|1|0|1|1
33|275|1|1|0|1|1
33|113|1|1|0|1|0
33|335|1|1|1|1|0
33|163|1|1|0|1|1
34|312|1|0|0|1|1
34|239|1|0|1|1|1
35|32|1|0|0|0|0
35|349|1|0|0|0|0
35|31|1|0|1|0|1
35|754|1|0|0|0|1
36|333|10|0|0|1|1
36|297|7|0|0|1|1
36|145|3|0|1|1|1
36|827|1|0|0|1|1
36|803|3|0|0|1|1
36|59|3|0|0|1|0
36|186|1|0|0|1|0
36|117|5|0|0|1|0
36|545|1|0|0|1|1
36|810|5|0|0|1|1
36|130|1|0|0|1|1
36|315|1|0|0|1|1
36|106|3|0|0|1|1
36|424|1|0|1|1|1
36|238|8|0|1|1|1
36|314|1|0|0|1|1
36|39|3|0|1|1|1
36|243|5|0|0|1|1
36|271|5|0|0|1|1
36|475|1|0|0|1|1
36|376|1|0|1|1|1
36|167|12|0|0|1|1
36|118|1|0|1|1|0
36|365|1|0|1|1|1
36|183|1|0|0|1|0
36|215|1|0|1|1|1
36|38|1|0|0|1|1
36|265|1|0|1|1|1
36|248|8|0|0|1|1
36|2|1|0|1|1|1
36|239|1|0|1|1|1
36|330|5|0|0|1|1
36|69|1|0|0|1|1
36|344|3|0|0|1|0
36|299|3|0|0|1|1
36|449|8|0|1|1|1
36|122|5|0|0|1|1
36|247|3|0|0|1|1
36|680|3|0|0|1|0
36|119|7|0|0|1|1
36|7|3|0|0|1|1
36|316|7|0|0|1|1
36|437|3|0|1|1|1
36|632|8|0|0|1|1
36|162|1|0|0|1|1
36|322|3|0|0|1|0
36|521|5|0|1|1|0
36|644|5|0|0|1|0
36|234|5|0|1|1|1
36|282|3|0|0|1|1
36|53|3|0|0|1|1
36|37|1|0|1|1|1
36|225|10|0|0|1|1
36|123|10|0|1|1|1
36|155|3|0|0|1|0
36|650|5|0|0|1|1
36|431|5|0|0|1|1
36|814|5|0|1|1|1
36|232|7|0|0|1|1
36|337|15|0|0|1|1
36|312|5|0|0|1|1
36|180|3|0|1|1|1
36|700|10|0|0|1|1
36|540|3|0|0|1|1
36|742|5|0|0|1|1
36|678|1|0|1|1|1
36|44|1|0|0|1|0
36|719|5|0|0|1|0
36|420|7|0|1|1|1
36|705|1|0|0|1|1
36|202|12|0|1|1|1
36|759|3|0|1|1|1
36|124|8|0|0|1|1
36|787|8|0|0|1|1
36|81|3|0|0|1|1
36|369|1|0|1|1|1
36|469|3|0|0|1|1
36|331|3|0|0|1|1
37|536|5|1|0|1|1
37|648|3|1|0|1|0
37|75|7|1|1|1|1
37|365|5|1|1|1|1
37|36|1|1|0|1|1
37|241|1|1|0|1|1
37|183|1|1|0|1|0
37|2|1|1|1|1|1
37|290|1|1|0|1|0
37|239|7|1|1|1|1
37|619|3|1|0|1|1
37|641|1|1|0|1|1
37|322|1|1|0|1|0
37|124|7|1|0|1|1
37|132|1|1|1|1|1
37|1|1|1|1|1|1
37|250|5|1|0|1|0
37|309|1|1|1|1|1
37|785|3|1|1|1|1
37|351|3|1|0|1|1
37|201|1|1|1|1|1
37|742|7|1|0|1|1
37|744|3|1|0|1|0
37|473|1|1|0|1|1
37|607|1|1|0|1|1
37|680|1|1|0|1|0
37|362|3|1|0|1|0
37|640|3|1|1|1|1
37|197|1|1|0|1|1
37|234|8|1|1|1|1
37|238|3|1|1|1|1
37|51|3|1|0|1|0
37|751|1|1|0|1|0
37|667|1|1|1|1|1
37|232|5|1|0|1|1
37|55|3|1|0|1|0
37|712|5|1|1|1|1
37|119|3|1|0|1|1
37|431|1|1|0|1|1
37|39|12|1|1|1|1
37|660|5|1|0|1|1
37|644|1|1|0|1|0
37|626|1|1|0|1|1
37|659|1|1|0|1|1
37|110|5|1|1|1|1
37|337|8|1|0|1|1
37|33|1|1|1|1|1
37|122|3|1|0|1|1
37|155|7|1|0|1|0
37|700|3|1|0|1|1
37|333|5|1|0|1|1
38|798|1|0|1|1|0
38|159|1|0|1|1|0
38|818|10|0|1|1|0
38|449|12|0|1|1|1
38|794|3|0|0|1|1
38|521|1|0|1|1|0
38|123|8|0|1|1|1
38|473|5|0|0|1|1
38|121|1|0|1|1|1
38|632|1|0|0|1|1
38|660|5|0|0|1|1
38|201|1|0|1|1|1
38|299|7|0|0|1|1
38|278|1|0|0|1|1
38|705|3|0|0|1|1
38|231|1|0|0|1|0
38|225|3|0|0|1|1
38|337|3|0|0|1|1
38|36|1|0|0|1|1
38|641|3|0|0|1|1
38|55|1|0|0|1|0
38|431|5|0|0|1|1
38|309|5|0|1|1|1
38|687|1|0|0|1|1
38|545|5|0|0|1|1
38|287|3|0|0|1|1
38|648|7|0|0|1|0
38|265|3|0|1|1|1
38|290|3|0|0|1|0
38|71|1|0|0|1|1
38|102|1|0|1|1|1
38|197|1|0|0|1|1
38|248|1|0|0|1|1
38|365|7|0|1|1|1
38|780|1|0|0|1|1
38|792|7|0|1|1|1
38|272|3|0|0|1|1
38|61|1|0|0|1|1
38|649|3|0|0|1|1
38|706|5|0|1|1|0
38|833|1|0|0|1|1
38|316|5|0|0|1|1
38|825|1|0|0|1|1
38|344|1|0|0|1|0
38|163|1|0|0|1|1
38|716|3|0|1|1|0
38|122|7|0|0|1|1
38|227|1|0|1|1|1
38|719|1|0|0|1|0
38|75|5|0|1|1|1
38|362|1|0|0|1|0
38|164|3|0|0|1|0
38|110|3|0|1|1|1
38|56|1|0|0|1|0
38|549|3|0|0|1|0
38|376|12|0|1|1|1
38|711|3|0|1|1|1
38|322|1|0|0|1|0
38|790|5|0|1|1|1
38|590|7|0|0|1|1
38|119|3|0|0|1|1
38|273|8|0|0|1|1
38|712|5|0|1|1|1
38|282|3|0|0|1|1
38|816|1|0|0|1|1
38|827|1|0|0|1|1
38|325|3|0|0|1|0
38|796|1|0|0|1|1
38|52|3|0|0|1|1
38|672|7|0|1|1|1
38|680|1|0|0|1|0
38|104|3|0|1|1|1
38|633|1|0|0|1|1
38|787|5|0|0|1|1
38|276|1|0|0|1|0
38|135|3|0|0|1|1
38|33|1|0|1|1|1
38|647|1|0|0|1|0
38|331|1|0|0|1|1
38|533|3|0|0|1|1
38|742|1|0|0|1|1
38|561|7|0|0|1|1
38|81|1|0|0|1|1
38|619|3|0|0|1|1
38|181|5|0|0|1|1
38|330|12|0|0|1|1
38|351|3|0|0|1|1
38|536|10|0|0|1|1
38|607|7|0|0|1|1
38|735|1|0|0|1|1
38|39|3|0|1|1|1
38|188|5|0|0|1|0
38|318|7|0|0|1|1
38|757|5|0|0|1|0
38|297|3|0|0|1|1
38|592|3|0|0|1|0
38|667|3|0|1|1|1
38|744|10|0|0|1|0
38|154|1|0|0|1|0
38|704|5|0|0|1|1
38|644|1|0|0|1|0
38|167|10|0|0|1|1
38|659|1|0|0|1|1
38|213|3|0|1|1|0
38|710|3|0|1|1|1
38|696|1|0|1|1|1
38|806|1|0|0|1|1
38|321|1|0|0|1|1
38|216|1|0|0|1|1
39|1|1|1|1|1|1
39|351|8|1|0|1|1
39|279|7|1|1|1|1
39|696|1|1|1|1|1
39|297|1|1|0|1|1
39|362|3|1|0|1|0
39|507|12|1|0|1|1
39|36|3|1|0|1|1
39|204|5|1|0|1|1
39|239|8|1|1|1|1
39|533|1|1|0|1|1
39|234|3|1|1|1|1
39|38|3|1|0|1|1
39|155|12|1|0|1|0
39|757|5|1|0|1|0
39|250|1|1|0|1|0
39|124|1|1|0|1|1
39|216|1|1|0|1|1
39|333|10|1|0|1|1
39|273|3|1|0|1|1
39|127|5|1|0|1|1
39|61|5|1|0|1|1
39|232|3|1|0|1|1
39|238|5|1|1|1|1
39|272|8|1|0|1|1
39|644|3|1|0|1|0
39|744|5|1|0|1|0
39|607|1|1|0|1|1
39|545|5|1|0|1|1
39|181|1|1|0|1|1
39|648|5|1|0|1|0
39|37|12|1|1|1|1
39|473|3|1|0|1|1
39|183|1|1|0|1|0
39|331|1|1|0|1|1
39|322|3|1|0|1|0
39|145|5|1|1|1|1
39|154|3|1|0|1|0
39|56|1|1|0|1|0
39|337|1|1|0|1|1
39|330|1|1|0|1|1
39|324|3|1|0|1|1
39|290|1|1|0|1|0
39|122|3|1|0|1|1
39|201|3|1|1|1|1
39|449|1|1|1|1|1
39|197|1|1|0|1|1
39|196|3|1|0|1|1
39|119|8|1|0|1|1
39|211|1|1|1|1|0
39|647|3|1|0|1|0
39|52|8|1|0|1|1
39|792|8|1|1|1|1
39|33|1|1|1|1|1
39|188|7|1|0|1|0
39|309|5|1|1|1|1
39|365|12|1|1|1|1
39|650|1|1|0|1|1
39|178|1|1|0|1|1
39|323|3|1|0|1|1
39|626|3|1|0|1|1
39|282|14|1|0|1|1
39|71|7|1|0|1|1
39|312|3|1|0|1|1
39|641|3|1|0|1|1
39|358|8|1|0|1|0
39|592|1|1|0|1|0
39|118|1|1|1|1|0
39|241|1|1|0|1|1
39|712|1|1|1|1|1
39|561|1|1|0|1|1
39|619|3|1|0|1|1
39|235|1|1|0|1|1
39|700|3|1|0|1|1
39|816|3|1|0|1|1
39|785|7|1|1|1|1
39|431|1|1|0|1|1
40|759|1|0|1|0|1
40|457|1|0|0|0|0
40|498|1|0|1|0|1
41|58|1|1|1|0|1
41|567|1|1|0|0|1
41|55|1|1|0|0|0
41|144|3|1|0|0|0
41|156|1|1|0|0|0
41|48|1|1|1|0|1
41|738|5|1|0|0|0
41|83|1|1|0|0|0
41|109|1|1|0|0|0
41|165|1|1|1|0|1
41|751|3|1|0|0|0
41|44|1|1|0|0|0
41|725|1|1|0|0|0
41|92|1|1|1|0|0
41|568|1|1|0|0|0
42|720|1|0|0|1|0
42|528|1|0|0|1|1
42|336|3|0|0|1|1
42|208|1|0|1|1|0
42|126|1|0|0|1|0
42|695|1|0|0|1|0
42|621|1|0|0|1|0
42|372|1|0|0|1|0
42|143|1|0|0|1|1
42|630|1|0|0|1|0
42|361|1|0|1|1|1
42|541|1|0|0|1|0
42|707|1|0|0|1|0
42|547|1|0|1|1|0
42|623|1|0|0|1|1
42|684|1|0|1|1|1
43|287|1|0|0|0|1
43|274|1|0|0|0|0
43|755|1|0|0|0|1
43|248|5|0|0|0|1
43|678|1|0|1|0|1
43|2|3|0|1|0|1
43|626|1|0|0|0|1
43|540|1|0|0|0|1
43|770|1|0|0|0|1
43|322|1|0|0|0|0
43|303|1|0|1|0|1
43|122|5|0|0|0|1
44|41|1|0|1|0|0
44|36|1|0|0|0|1
44|92|1|0|1|0|0
44|700|5|0|0|0|1
44|751|1|0|0|0|0
44|48|1|0|1|0|1
44|431|1|0|0|0|1
44|144|1|0|0|0|0
44|507|3|0|0|0|1
44|55|3|0|0|0|0
45|77|1|0|1|0|0
45|79|1|0|0|0|0
46|243|1|0|0|1|1
46|761|3|0|1|1|1
46|251|1|0|0|1|0
46|180|1|0|1|1|1
46|248|1|0|0|1|1
46|27|1|0|1|1|0
46|540|1|0|0|1|1
46|90|3|0|0|1|0
46|294|1|0|0|1|0
46|626|1|0|0|1|1
46|7|1|0|0|1|1
46|67|3|0|1|1|0
46|236|1|0|0|1|1
47|759|7|0|1|1|1
47|696|10|0|1|1|1
47|676|3|0|1|1|1
47|80|1|0|1|1|1
47|761|1|0|1|1|1
47|783|5|0|0|1|1
47|505|5|0|1|1|1
47|564|10|0|0|1|1
47|357|1|0|0|1|1
47|700|7|0|0|1|1
47|202|3|0|1|1|1
47|29|5|0|0|1|1
47|94|8|0|0|1|1
47|687|7|0|0|1|1
47|232|5|0|0|1|1
47|626|10|0|0|1|1
47|533|3|0|0|1|1
47|669|3|0|0|1|1
47|254|1|0|1|1|1
47|105|1|0|0|1|1
47|472|3|0|1|1|1
47|306|1|0|1|1|0
47|7|8|0|0|1|1
47|767|1|0|0|1|0
47|763|3|0|0|1|0
47|274|5|0|0|1|0
47|180|10|0|1|1|1
47|263|1|0|1|1|1
47|221|5|0|0|1|1
47|701|3|0|1|1|1
47|230|5|0|0|1|1
47|67|3|0|1|1|0
47|375|1|0|1|1|1
47|811|1|0|1|1|1
47|239|7|0|1|1|1
47|212|10|0|0|1|1
47|243|7|0|0|1|1
47|310|8|0|0|1|1
47|294|5|0|0|1|0
47|732|1|0|0|1|1
47|214|1|0|0|1|1
47|632|1|0|0|1|1
47|303|5|0|1|1|1
47|69|5|0|0|1|1
47|205|7|0|0|1|0
47|27|3|0|1|1|0
47|366|3|0|0|1|0
47|287|5|0|0|1|1
47|258|8|0|1|1|1
47|590|3|0|0|1|1
47|162|5|0|0|1|1
47|53|5|0|0|1|1
47|556|7|0|1|1|1
47|337|14|0|0|1|1
47|774|7|0|0|1|1
47|770|3|0|0|1|1
47|464|1|0|1|1|0
47|807|3|0|1|1|1
47|383|1|0|0|1|0
47|734|3|0|0|1|0
47|332|5|0|0|1|0
47|130|5|0|0|1|1
47|507|7|0|0|1|1
47|438|5|0|0|1|1
47|66|1|0|1|1|1
47|187|1|0|1|1|1
47|719|5|0|0|1|0
47|536|1|0|0|1|1
47|473|3|0|0|1|1
47|803|12|0|0|1|1
47|787|3|0|0|1|1
47|685|3|0|0|1|0
47|678|1|0|1|1|1
47|199|1|0|0|1|0
47|573|1|0|0|1|0
47|315|8|0|0|1|1
47|694|1|0|1|1|1
47|728|3|0|0|1|0
47|266|1|0|0|1|1
47|312|8|0|0|1|1
47|514|3|0|1|1|0
47|810|5|0|0|1|1
47|827|10|0|0|1|1
47|2|7|0|1|1|1
48|55|5|1|0|1|0
48|253|3|1|0|1|1
48|144|1|1|0|1|0
48|165|3|1|1|1|1
48|184|1|1|0|1|0
48|834|1|1|0|1|0
48|751|3|1|0|1|0
48|44|1|1|0|1|0
48|57|3|1|0|1|0
48|567|1|1|0|1|1
48|507|3|1|0|1|1
48|41|1|1|1|1|0
48|568|1|1|0|1|0
48|725|1|1|0|1|0
48|700|1|1|0|1|1
48|203|1|1|1|1|1
48|738|3|1|0|1|0
49|782|1|0|0|0|0
49|315|1|0|0|0|1
49|130|1|0|0|0|1
49|694|1|0|1|0|1
50|749|1|1|0|1|0
50|83|1|1|0|1|0
50|745|1|1|1|1|0
50|736|1|1|0|1|0
50|739|1|1|0|1|0
50|762|1|1|0|1|1
50|724|1|1|1|1|1
50|737|1|1|0|1|0
50|748|1|1|1|1|0
50|750|1|1|0|1|0
50|747|1|1|0|1|0
50|740|1|1|0|1|0
50|738|1|1|0|1|0
50|746|3|1|0|1|0
50|753|1|1|0|1|1
51|250|3|0|0|0|0
51|507|1|0|0|0|1
51|619|1|0|0|0|1
51|640|1|0|1|0|1
51|545|1|0|0|0|1
51|55|1|0|0|0|0
51|323|1|0|0|0|1
51|331|1|0|0|0|1
51|61|1|0|0|0|1
51|650|1|0|0|0|1
51|316|1|0|0|0|1
51|37|3|0|1|0|1
